                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6351,                 3.9907,                 1.7706,                0.11923,                0.54216,                0.18264,                0.14836,                0.92474,                 2.4965,                 1.3158,             0.00017454,             0.00017454,             0.00017454
                      2,                0.89455,                  2.823,                 1.2263,                0.18559,                0.45988,                0.25943,                0.20396,                 0.7973,                 2.0633,                 1.1734,             0.00034979,             0.00034979,             0.00034979
